zip_first_three_digits,population_count,housing_count,total_male_population,total_female_population,white,black_or_african_american,american_indian_or_alaskan_native,asian,native_hawaiian_and_other_pacific_islander,other_race,two_or_more_races,median_household_income,percent_population_in_poverty,median_earnings_past_year,percent_high_school_graduate,percent_bachelors_degree,percent_graduate_degree,pop_under_10,pop_10_to_19,pop_20_to_29,pop_30_to_39,pop_40_to_49,pop_50_to_59,pop_60_to_69,pop_70_to_79,pop_80_plus,kmeans_cluster
641,649714.0,304095.0,316397.0,333317.0,435529.0,151293.0,3018.0,15674.0,1203.0,23991.0,19006.0,55522.68613112847,15.977002062599851,33508.99203495692,88.43743571032792,31.730630554059168,12.270120159947298,1486.1864406779662,1405.050847457627,1606.050847457627,1487.0338983050847,1564.7288135593221,1539.3050847457628,991.271186440678,532.8474576271186,399.6271186440678,0
642,32720.0,13947.0,16255.0,16465.0,31286.0,299.0,48.0,523.0,10.0,140.0,414.0,99460.71570904646,3.0207248074572126,52089.00531784841,95.88642606662592,44.43890767420538,19.84196862163814,750.4,912.8,473.4,708.8,1186.6,1168.6,784.4,328.4,230.6,2
643,24925.0,10742.0,12056.0,12869.0,23632.0,200.0,16.0,586.0,2.0,188.0,301.0,95827.50551654965,3.4157297893681045,47853.997993981946,96.64238294884655,54.45877963891675,27.127118455366098,1423.5,1700.5,780.5,1086.0,2045.5,2275.0,1777.5,807.5,566.5,2
644,138390.0,59582.0,70446.0,67944.0,131927.0,2718.0,477.0,1252.0,40.0,504.0,1472.0,59726.006879109766,12.191836704241638,31669.305289399523,90.67295507478865,26.886719249945806,10.983801435797384,216.88,264.46666666666664,217.25333333333333,194.77333333333334,269.76,275.6666666666667,197.52,119.45333333333333,89.42666666666666,2
645,199119.0,86057.0,97834.0,101285.0,161563.0,16693.0,787.0,4357.0,246.0,9296.0,6177.0,51773.313305109004,14.771027019018781,31360.16517258524,86.55911090202342,23.87046512387065,9.449339728504059,2252.6363636363635,2384.090909090909,2706.909090909091,2343.090909090909,2541.6363636363635,2479.909090909091,1648.0,960.1818181818181,785.2727272727273,2
646,149073.0,67691.0,72016.0,77057.0,139635.0,2371.0,345.0,3433.0,45.0,1162.0,2082.0,64657.503149463686,10.445264369805397,37383.14743112435,89.83928196387004,28.557842027731382,11.500240814231953,299.8813559322034,334.1694915254237,252.77966101694915,285.2881355932203,378.9491525423729,382.76271186440675,288.3898305084746,173.38983050847457,131.05084745762713,2
647,218841.0,95220.0,107293.0,111548.0,207110.0,2618.0,901.0,3768.0,60.0,1302.0,3082.0,66065.3416407346,11.329809209426024,34526.660666876865,89.4881323129578,27.865735123674263,11.750578808815531,484.81481481481484,557.1481481481482,374.6111111111111,418.6111111111111,615.5555555555555,621.8148148148148,471.25925925925924,297.2037037037037,211.59259259259258,2
648,327436.0,138143.0,159887.0,167549.0,294858.0,5208.0,3933.0,5722.0,1078.0,8673.0,7964.0,57480.688519283154,12.97587138677482,33624.055815487605,87.6087428941839,26.16018189264467,9.981020513321688,1077.2,1136.8,940.925,954.2,1183.95,1152.1,856.8,506.2,377.725,2
649,52204.0,22934.0,25231.0,26973.0,47781.0,696.0,87.0,1630.0,6.0,1272.0,732.0,73719.24390851276,5.908474624549842,40036.49226112942,92.34272013255689,34.45452633323117,13.872192791740098,2719.5,3229.5,2790.0,3005.0,4036.0,4225.5,2916.0,1603.0,1577.5,2
650,154610.0,96685.0,77470.0,77140.0,148967.0,1420.0,651.0,540.0,84.0,963.0,1985.0,45707.11602095595,15.847452486255746,25510.84815341828,85.90256769484509,18.84816322424164,6.041858907573895,349.537037037037,372.6111111111111,291.74074074074076,314.037037037037,398.75925925925924,435.24074074074076,367.1296296296296,213.59259259259258,120.5,2
651,343952.0,144148.0,165911.0,178041.0,216033.0,78483.0,1210.0,13260.0,224.0,24310.0,10432.0,50795.61378041122,16.878098826289715,30880.82560357259,86.78997748203237,31.954918813380942,15.079034200120946,3472.4166666666665,3959.25,5114.5,3889.25,3790.6666666666665,3551.5833333333335,2404.0,1339.25,1141.75,2
652,278518.0,119294.0,138436.0,140082.0,239437.0,21503.0,1022.0,7670.0,113.0,2067.0,6706.0,49720.48734372644,18.760943181051136,26898.11620792911,90.22641323038366,36.612695693994645,15.60742100869603,736.1304347826087,864.5,1173.7391304347825,725.5217391304348,762.3260869565217,770.1086956521739,517.0217391304348,291.5869565217391,213.80434782608697,2
653,103329.0,52345.0,51413.0,51916.0,93609.0,3175.0,467.0,623.0,251.0,2996.0,2208.0,38519.72779181063,18.436679190740257,22649.032430392243,83.5916349127544,14.620714292212254,5.052469503237232,445.1290322580645,444.5806451612903,433.80645161290323,358.93548387096774,425.1290322580645,458.2903225806452,380.2258064516129,240.32258064516128,146.7741935483871,2
654,93957.0,38120.0,51103.0,42854.0,84441.0,3657.0,612.0,1832.0,167.0,965.0,2283.0,40814.87791223645,18.32366531072725,20492.26089594176,86.60978873527252,21.083177460966187,8.27855108187788,416.0740740740741,559.8148148148148,721.3703703703703,377.3703703703704,394.22222222222223,399.18518518518516,305.9259259259259,195.55555555555554,110.37037037037037,2
655,122938.0,54902.0,61601.0,61337.0,112037.0,4615.0,871.0,1175.0,206.0,840.0,3194.0,41865.54625908995,16.918654569783143,25132.2660121362,82.92128040150321,15.915025871577543,6.256461415510257,543.5806451612904,543.0,494.4193548387097,484.2258064516129,551.9032258064516,536.3870967741935,413.4193548387097,250.41935483870967,148.38709677419354,2
656,211390.0,105535.0,104229.0,107161.0,201868.0,1302.0,1507.0,994.0,93.0,2011.0,3615.0,39959.38699560055,18.479070501915892,22025.78380718104,84.02887550640995,16.494061480675526,5.307662271157575,382.04477611940297,427.5074626865672,341.65671641791045,347.95522388059703,417.910447761194,452.7761194029851,398.44776119402985,252.7462686567164,134.02985074626866,2
657,287932.0,130840.0,141512.0,146420.0,275369.0,1153.0,1983.0,1352.0,140.0,2968.0,4967.0,42634.77215453649,17.661302764194332,25017.711431865857,86.40523481898505,18.423754953947455,6.079168309878721,567.4084507042254,577.169014084507,434.6619718309859,483.3098591549296,557.830985915493,550.1267605633802,457.07042253521126,277.056338028169,150.74647887323943,2
658,219752.0,102418.0,106868.0,112884.0,197585.0,7573.0,1541.0,4231.0,285.0,2309.0,6228.0,40372.30112126397,21.006993962739816,22492.50678947177,89.36306889220576,29.102552271651682,10.077871793203247,3648.5714285714284,3841.4285714285716,6193.142857142857,3750.5714285714284,3836.285714285714,3988.5714285714284,2920.0,1820.7142857142858,1393.857142857143,2
660,602617.0,240620.0,302049.0,300568.0,467209.0,62578.0,5962.0,15712.0,438.0,31309.0,19409.0,58119.78539271212,14.343648481871568,30465.204654033987,89.35779670055773,32.65801017130283,12.262313445189898,1193.027397260274,1183.7123287671234,1305.3287671232877,1170.109589041096,1155.3424657534247,1031.5205479452054,647.5479452054794,333.2328767123288,235.2054794520548,0
661,267882.0,110091.0,130112.0,137770.0,167488.0,56707.0,1498.0,7463.0,210.0,26089.0,8427.0,57788.87515398571,17.253573734704087,33503.05156001523,81.96060112960184,23.566502093832362,9.004254744999663,2820.5,2700.4285714285716,2425.1428571428573,2427.285714285714,2697.3571428571427,2560.785714285714,1689.5,1006.5,806.9285714285714,2
662,370212.0,161874.0,178762.0,191450.0,319547.0,15872.0,1203.0,16787.0,201.0,7777.0,8825.0,80353.70545795382,6.36319973285577,44052.90218847579,96.02477942908389,55.860793024537294,20.945924259073177,2070.8333333333335,2025.625,1935.875,2054.5,2275.5,2241.375,1460.0,751.25,610.5416666666666,2
