Housing Units,zipcode,Water Area,Median Home Value,Median Household Income,Population Density,Occupied Housing Units,Population,id,Land Area
13937,79416,0.29,110300,45937,1005,12980,32296,794,32.15
13477,79423,0.32,120000,54784,534,12739,32277,794,60.5
16483,79424,0.31,168800,75921,935,15732,39023,794,41.74
0,79430,0,0,0,0,0,0,794,0
0,79452,0,0,0,0,0,0,794,0
0,79453,0,0,0,0,0,0,794,0
0,79457,0,0,0,0,0,0,794,0
0,79464,0,0,0,0,0,0,794,0
0,79490,0,0,0,0,0,0,794,0
0,79491,0,0,0,0,0,0,794,0
0,79493,0,0,0,0,0,0,794,0
0,79499,0,0,0,0,0,0,794,0
1647,79501,1.05,60700,41757,18,1346,3528,795,199.11
814,79502,3.33,46100,41190,2,576,1350,795,652.67
131,79503,0.25,76700,55326,2,76,175,795,79.43
1480,79504,0.62,63500,41406,7,1179,2787,795,375.08
155,79505,0.48,36700,35278,2,112,296,795,185.72
774,79506,3.7,53200,39500,4,348,730,795,182.95
564,79508,0,128300,65526,104,498,1242,795,11.9
3683,79510,2.23,77800,46555,29,3091,7982,795,274.29
654,79511,0.45,80800,62500,7,536,1338,795,180.24
3449,79512,4.85,52600,47954,14,2337,8197,795,574.61
0,79516,0,0,0,0,0,0,795,0
113,79517,0.59,143400,76875,1,76,200,795,221.38
108,79518,0.03,66100,52917,1,61,124,795,135.72
52,79519,0.16,258300,43750,2,34,74,795,30.28
1231,79520,1.38,43900,33864,13,950,2449,795,194.75
2209,79521,6.97,53500,39479,13,1462,3980,795,311.88
1205,79525,0.18,68600,38787,30,1073,2842,795,93.74
509,79526,0.29,88900,71250,4,394,979,795,219.26
178,79527,0.89,58000,50688,3,97,251,795,94.41
348,79528,0.17,63600,45446,2,257,619,795,352.17
714,79529,0.48,37100,36979,16,556,1383,795,89.18
257,79530,0.34,35800,44792,14,205,480,795,34.5
480,79532,0.02,36000,27131,8,374,940,795,123.54
298,79533,0.33,33800,41786,3,203,472,795,144.02
121,79534,0.11,85000,26250,3,78,181,795,60.22
121,79535,0.02,61300,38333,1,76,183,795,140.91
2264,79536,0.31,64600,45054,16,1956,4988,795,316.65
67,79537,0,44400,46563,1,46,111,795,77.92
200,79538,0.21,46500,46250,4,133,271,795,68.53
125,79539,0,36800,34821,5,82,178,795,37.46
67,79540,0.17,66000,116563,2,42,89,795,54.56
384,79541,0.31,98900,58833,5,314,791,795,157.73
584,79543,0.47,65000,46667,7,478,1186,795,164.23
318,79544,0,22900,35417,6,216,512,795,82.56
816,79545,0.12,51200,44188,8,685,1788,795,227.8
1123,79546,0.75,49500,36250,6,845,2006,795,359.49
485,79547,0.01,38600,35625,10,331,758,795,78.25
112,79548,0.01,86100,41696,2,76,174,795,91.41
6342,79549,1.16,86400,46791,16,5344,15652,795,956.33
0,79550,0,0,0,0,0,0,795,0
1794,79553,0.43,44600,35904,21,1399,3469,795,166.24
6038,79556,1.86,54200,36499,43,5130,12995,795,304.25
106,79560,0.24,68800,48750,2,66,137,795,75.45
336,79561,0.36,69100,46154,5,266,662,795,125.32
1510,79562,0.88,149100,74750,32,1364,3669,795,116.11
505,79563,0.01,47300,38750,71,443,1161,795,16.37
148,79565,0.02,37500,56389,3,112,295,795,90.34
220,79566,0.4,94000,40833,2,156,333,795,158.08
1781,79567,1.48,43700,41600,11,1371,3373,795,315.58
9122,79601,5.6,82700,34556,101,7938,25085,796,249
8917,79602,1.16,124400,51295,187,8133,21519,796,114.79
9590,79603,0.04,66600,38176,416,8764,24288,796,58.4
0,79604,0,0,0,0,0,0,796,0
13083,79605,0.03,88300,41305,2744,11994,30098,796,10.97
10241,79606,0.17,145700,56844,366,9687,22885,796,62.47
673,79607,0.03,0,44779,756,645,2865,796,3.79
0,79608,0,0,0,0,0,0,796,0
0,79697,0,0,0,0,0,0,796,0
0,79698,0,0,0,0,0,0,796,0
48,79699,0,0,0,3370,11,321,796,0.1
10310,79701,0,81300,45030,2332,9364,27728,797,11.89
0,79702,0,0,0,0,0,0,797,0
7671,79703,0,110600,57842,3076,7347,20592,797,6.69
0,79704,0,0,0,0,0,0,797,0
13678,79705,0,179100,68649,943,12946,33536,797,35.57
7135,79706,1.39,96400,58737,26,6649,19571,797,743.93
14370,79707,0.22,214200,76543,464,13440,32854,797,70.77
0,79708,0,0,0,0,0,0,797,0
